rho,kappa,method,makespan
0.5R,4,GCCS,3.138680881154322
0.5R,4,HEFT,2.8981045365177924
0.5R,4,Hydra,3.053407977573491
0.5R,4,MRSA,4.171045767185017
0.7R,4,GCCS,2.235604652253922
0.7R,4,HEFT,2.1248478572389797
0.7R,4,Hydra,2.147063086951157
0.7R,4,MRSA,2.9715608081660005
0.9R,4,GCCS,1.9473076264018427
0.9R,4,HEFT,1.7570588937196774
0.9R,4,Hydra,1.7547277137514579
0.9R,4,MRSA,2.64905544956398
1R,4,GCCS,1.6184795378370596
1R,4,HEFT,1.5860561660561543
1R,4,Hydra,1.6310577073979948
1R,4,MRSA,2.3159176939298773
1.25R,4,GCCS,1.5106096161529499
1.25R,4,HEFT,1.3926627217413843
1.25R,4,Hydra,1.6930487633345401
1.25R,4,MRSA,1.99567379722777
1.5R,4,GCCS,1.4753453662635132
1.5R,4,HEFT,1.3556946391925924
1.5R,4,Hydra,1.5094085104029815
1.5R,4,MRSA,1.8459188568609124
2R,4,GCCS,1.4956621607617127
2R,4,HEFT,1.365468362215079
2R,4,Hydra,1.6380559791117546
2R,4,MRSA,1.5656889156363372
