rho,kappa,method,makespan
0.5R,4,GCCS,3.016425066313549
0.5R,4,HEFT,3.378396074271175
0.5R,4,Hydra,2.752720407103122
0.5R,4,MRSA,3.4166826871471647
0.6R,4,GCCS,2.495255072249773
0.6R,4,HEFT,2.7946856809197462
0.6R,4,Hydra,2.3024499391622553
0.6R,4,MRSA,2.8525780214238052
0.75R,4,GCCS,2.06903743912196
0.75R,4,HEFT,2.317321931816595
0.75R,4,Hydra,1.828492607837098
0.75R,4,MRSA,2.294867902325556
0.9R,4,GCCS,1.7488415938895627
0.9R,4,HEFT,1.9587025851563107
0.9R,4,Hydra,1.61969994208622
0.9R,4,MRSA,1.9232799105120815
1.0R,4,GCCS,1.6186315170110406
1.0R,4,HEFT,1.8128672990523655
1.0R,4,Hydra,1.4998726918325818
1.0R,4,MRSA,1.6944848879180412
1.25R,4,GCCS,1.42775500907459
1.25R,4,HEFT,1.5990856101635411
1.25R,4,Hydra,1.595730743146377
1.25R,4,MRSA,1.51544230948184
1.5R,4,GCCS,1.42775500907459
1.5R,4,HEFT,1.5990856101635411
1.5R,4,Hydra,1.5446839265763057
1.5R,4,MRSA,1.5230689380676994
2R,4,GCCS,1.42775500907459
2R,4,HEFT,1.599085610163541
2R,4,Hydra,1.755116218289625
2R,4,MRSA,1.429674686676326
