rho,kappa,method,makespan
0.5R,1,GCCS,2.8977783913017956
0.5R,1,HEFT,3.2455117982580113
0.5R,1,Hydra,3.12980676646723
0.5R,1,MRSA,3.1434493746566075
0.5R,2,GCCS,2.9347263564639294
0.5R,2,HEFT,3.286893519239601
0.5R,2,Hydra,3.3099717061173366
0.5R,2,MRSA,3.1108099378517653
0.5R,4,GCCS,3.003476502782653
0.5R,4,HEFT,3.3638936831165713
0.5R,4,Hydra,3.6677592970347037
0.5R,4,MRSA,3.1836850929496125
0.5R,7,GCCS,3.0601207205140435
0.5R,7,HEFT,3.4273352069757292
0.5R,7,Hydra,4.184502655103801
0.5R,7,MRSA,3.243727963744886
0.7R,1,GCCS,2.075039975868097
0.7R,1,HEFT,2.3240447729722686
0.7R,1,Hydra,2.2933051233056747
0.7R,1,MRSA,2.3791058044598685
0.7R,2,GCCS,2.132169652736165
0.7R,2,HEFT,2.388030011064505
0.7R,2,Hydra,2.418242802430242
0.7R,2,MRSA,2.2600998319003347
0.7R,4,GCCS,2.2201799503093924
0.7R,4,HEFT,2.4866015443465197
0.7R,4,Hydra,2.6822596921755815
0.7R,4,MRSA,2.353390747327956
0.7R,7,GCCS,2.280509152198777
0.7R,7,HEFT,2.5541702504626302
0.7R,7,Hydra,3.0858812602669934
0.7R,7,MRSA,2.417339701330704
0.9R,1,GCCS,1.6299952046241573
0.9R,1,HEFT,1.8255946291790561
0.9R,1,Hydra,1.8446494795367259
0.9R,1,MRSA,2.019710659455871
0.9R,2,GCCS,1.6708898474129485
0.9R,2,HEFT,1.8713966291025026
0.9R,2,Hydra,1.9371513599077923
0.9R,2,MRSA,1.8760682465216891
0.9R,4,GCCS,1.74334064385613
0.9R,4,HEFT,1.952541521118866
0.9R,4,Hydra,2.1881491308242533
0.9R,4,MRSA,1.8479410824874978
0.9R,7,GCCS,1.8181883122708848
0.9R,7,HEFT,2.036370909743391
0.9R,7,Hydra,2.499584578295549
0.9R,7,MRSA,1.927279611007138
1.0R,1,GCCS,1.4353285087924668
1.0R,1,HEFT,1.607567929847563
1.0R,1,Hydra,1.692607475848129
1.0R,1,MRSA,1.8338705503671557
1.0R,2,GCCS,1.464715753614488
1.0R,2,HEFT,1.6404816440482266
1.0R,2,Hydra,1.7488341525104205
1.0R,2,MRSA,1.6923861658405586
1.0R,4,GCCS,1.5062592526014522
1.0R,4,HEFT,1.6870103629136268
1.0R,4,Hydra,2.04561080478263
1.0R,4,MRSA,1.635131225780285
1.0R,7,GCCS,1.5939136014570503
1.0R,7,HEFT,1.7851832336318965
1.0R,7,Hydra,2.265166029263691
1.0R,7,MRSA,1.7103228551555825
1.1.0R,1,GCCS,1.4201965391581877
1.1.0R,1,HEFT,1.5906201238571704
1.1.0R,1,Hydra,1.5831851543970006
1.1.0R,1,MRSA,1.772555562927705
1.1.0R,2,GCCS,1.4201965391581877
1.1.0R,2,HEFT,1.5906201238571704
1.1.0R,2,Hydra,1.8119103241585242
1.1.0R,2,MRSA,1.6196978986351247
1.1.0R,4,GCCS,1.4928223776064693
1.1.0R,4,HEFT,1.6719610629192458
1.1.0R,4,Hydra,1.7933722475448513
1.1.0R,4,MRSA,1.5823917202628575
1.1.0R,7,GCCS,1.5978430612784518
1.1.0R,7,HEFT,1.7895842286318662
1.1.0R,7,Hydra,2.2799073589075998
1.1.0R,7,MRSA,1.693713644955159
1.3R,1,GCCS,1.4201965391581877
1.3R,1,HEFT,1.5906201238571704
1.3R,1,Hydra,1.5755498510736596
1.3R,1,MRSA,1.7071919516380467
1.3R,2,GCCS,1.4201965391581877
1.3R,2,HEFT,1.5906201238571704
1.3R,2,Hydra,1.8289933571971242
1.3R,2,MRSA,1.505408331507679
1.3R,4,GCCS,1.4201965391581877
1.3R,4,HEFT,1.5906201238571704
1.3R,4,Hydra,1.953157284357916
1.3R,4,MRSA,1.5054083315076792
1.3R,7,GCCS,1.4201965391581877
1.3R,7,HEFT,1.5906201238571704
1.3R,7,Hydra,2.2825343063050254
1.3R,7,MRSA,1.505408331507679
1.5R,1,GCCS,1.4372896405635047
1.5R,1,HEFT,1.6097643974311255
1.5R,1,Hydra,1.5468551561728547
1.5R,1,MRSA,1.6992390525419123
1.5R,2,GCCS,1.4372896405635047
1.5R,2,HEFT,1.6097643974311255
1.5R,2,Hydra,1.7687950706164703
1.5R,2,MRSA,1.5235270189973151
1.5R,4,GCCS,1.4372896405635047
1.5R,4,HEFT,1.6097643974311253
1.5R,4,Hydra,1.8846223651305132
1.5R,4,MRSA,1.5235270189973151
1.5R,7,GCCS,1.4372896405635047
1.5R,7,HEFT,1.6097643974311255
1.5R,7,Hydra,2.1132257873250433
1.5R,7,MRSA,1.5235270189973154
