dataset,method,makespan
Balanced,GCCS,1.5662592526014522
Balanced,HEFT,1.8070103629136268
Balanced,Hydra,1.94561080478263
Balanced,MRSA,1.785131225780285
LongTail,GCCS,1.801416953566121
LongTail,HEFT,2.16959869879940556
LongTail,Hydra,2.3508795492208854
LongTail,MRSA,2.13687019707800881
