dataset,method,makespan
Balanced,GCCS,1.5062592526014522
Balanced,HEFT,1.6870103629136268
Balanced,Hydra,2.04561080478263
Balanced,MRSA,1.635131225780285
LongTail,GCCS,1.621416953566121
LongTail,HEFT,1.8159869879940556
LongTail,Hydra,2.3608795492208854
LongTail,MRSA,1.7187019707800881
