rho,kappa,method,makespan
0.5R,4,GCCS,3.6995107462675727
0.5R,4,HEFT,3.2860904537425926
0.5R,4,Hydra,3.2860904537425926
0.5R,4,MRSA,3.2713020390484933
0.7R,4,GCCS,2.439111346989718
0.7R,4,HEFT,2.3564585238577953
0.7R,4,Hydra,2.3564585238577953
0.7R,4,MRSA,2.40969757788249
0.9R,4,GCCS,1.9411675001892041
0.9R,4,HEFT,1.9042673270810673
0.9R,4,Hydra,1.947800900253458
0.9R,4,MRSA,1.9590053056492391
1R,4,GCCS,1.7527558361446545
1R,4,HEFT,1.6953534277390452
1R,4,Hydra,1.736770527533129
1R,4,MRSA,1.8173753069824516
1.25R,4,GCCS,1.6187547461039442
1.25R,4,HEFT,1.6170483090487753
1.25R,4,Hydra,1.815726587210629
1.25R,4,MRSA,1.608207435039253
1.5R,4,GCCS,1.5232665952186129
1.5R,4,HEFT,1.4812266720157024
1.5R,4,Hydra,1.7499171687177117
1.5R,4,MRSA,1.436238998431808
2R,4,GCCS,1.4710219593212013
2R,4,HEFT,1.3862550266584164
2R,4,Hydra,1.7212015909868483
2R,4,MRSA,1.430933407824146
