rho,kappa,method,makespan
1.0R,1,GCCS,1.473086
1.0R,1,HEFT,1.843086
1.0R,1,Hydra,1.897086
1.0R,1,MRSA,1.769086
1.0R,2,GCCS,1.469387
1.0R,2,HEFT,1.979387
1.0R,2,Hydra,1.8441387
1.0R,2,MRSA,1.917387
1.0R,3,GCCS,1.458042
1.0R,3,HEFT,2.076042
1.0R,3,Hydra,2.038842
1.0R,3,MRSA,2.013242
1.0R,4,GCCS,1.477594
1.0R,4,HEFT,2.089252
1.0R,4,Hydra,2.129252
1.0R,4,MRSA,2.011872
1.0R,5,GCCS,1.551474
1.0R,5,HEFT,2.131474
1.0R,5,Hydra,2.189474
1.0R,5,MRSA,2.073474
1.0R,6,GCCS,1.654905
1.0R,6,HEFT,2.214905
1.0R,6,Hydra,2.270905
1.0R,6,MRSA,2.158905
1.0R,7,GCCS,1.773113
1.0R,7,HEFT,2.313113
1.0R,7,Hydra,2.367113
1.0R,7,MRSA,2.259113
2R,1,GCCS,1.425383
2R,1,HEFT,1.645383
2R,1,Hydra,1.630383
2R,1,MRSA,1.600212
2R,2,GCCS,1.328208
2R,2,HEFT,1.508208
2R,2,Hydra,1.567208
2R,2,MRSA,1.479208
2R,3,GCCS,1.343498
2R,3,HEFT,1.493498
2R,3,Hydra,1.609498
2R,3,MRSA,1.477498
2R,4,GCCS,1.367755
2R,4,HEFT,1.584808
2R,4,Hydra,1.757024
2R,4,MRSA,1.553420
2R,5,GCCS,1.408788
2R,5,HEFT,1.658788
2R,5,Hydra,1.721788
2R,5,MRSA,1.645788
2R,6,GCCS,1.506016
2R,6,HEFT,1.776016
2R,6,Hydra,1.799016
2R,6,MRSA,1.723016
2R,7,GCCS,1.591114
2R,7,HEFT,1.849114
2R,7,Hydra,1.880114
2R,7,MRSA,1.828114
