rho,kappa,method,makespan
1.0R,1,GCCS,1.2953829572372488
1.0R,1,HEFT,1.8347669922702858
1.0R,1,Hydra,1.8347669922702858
1.0R,1,MRSA,1.8023997844408421
1.0R,2,GCCS,1.3706959198673216
1.0R,2,HEFT,1.941439491820884
1.0R,2,Hydra,1.941439491820884
1.0R,2,MRSA,1.9071904695827517
1.0R,3,GCCS,1.446008882497394
1.0R,3,HEFT,2.048111991371482
1.0R,3,Hydra,2.048111991371482
1.0R,3,MRSA,2.011981154724661
1.0R,4,GCCS,1.5062592526014522
1.0R,4,HEFT,2.13344999101196
1.0R,4,Hydra,2.13344999101196
1.0R,4,MRSA,2.0958137028381887
1.0R,5,GCCS,1.5966348077575394
1.0R,5,HEFT,2.261456990472678
1.0R,5,Hydra,2.261456990472678
1.0R,5,MRSA,2.2215625250084803
1.0R,6,GCCS,1.7020729554396408
1.0R,6,HEFT,2.410798489843515
1.0R,6,Hydra,2.410798489843515
1.0R,6,MRSA,2.3682694842071528
1.0R,7,GCCS,1.8376362881737716
1.0R,7,HEFT,2.6028089890345916
1.0R,7,Hydra,2.6028089890345916
1.0R,7,MRSA,2.55689271746259
2R,1,GCCS,1.5430856101635415
2R,1,HEFT,1.7912250272815313
2R,1,Hydra,1.9798741347371351
2R,1,MRSA,1.747670746773354
2R,2,GCCS,1.3226448087116067
2R,2,HEFT,1.5353357376698837
2R,2,Hydra,1.69703497263183
2R,2,MRSA,1.4980034972343035
2R,3,GCCS,1.2675346083486232
2R,3,HEFT,1.471363415266972
2R,3,Hydra,1.6263251821055038
2R,3,MRSA,1.4355866848495409
2R,4,GCCS,1.3777550090745905
2R,4,HEFT,1.5993080600727956
2R,4,Hydra,1.7677447631581562
2R,4,MRSA,1.560420309619066
2R,5,GCCS,1.460420309619066
2R,5,HEFT,1.6952665436771635
2R,5,Hydra,1.8738094489476458
2R,5,MRSA,1.65404552819621
2R,6,GCCS,1.6257509107080166
2R,6,HEFT,1.8871835108858988
2R,6,Hydra,2.085938820526624
2R,6,MRSA,1.8412959653504979
2R,7,GCCS,1.722193761343238
2R,7,HEFT,1.9991350750909944
2R,7,Hydra,2.209680953947695
2R,7,MRSA,1.9505253870238326
