rho,kappa,method,makespan
0.5R,4,GCCS,3.0159762669301477
0.5R,4,HEFT,3.336633656292463
0.5R,4,Hydra,3.186334842945956
0.5R,4,MRSA,3.246334842945956
0.7R,4,GCCS,1.982324927868394
0.7R,4,HEFT,2.6307899134420727
0.7R,4,Hydra,2.521173667048653
0.7R,4,MRSA,2.521173667048653
0.9R,4,GCCS,1.5272882218745511
0.9R,4,HEFT,2.2584746884369165
0.9R,4,Hydra,2.223728924003443
0.9R,4,MRSA,2.171610277343189
1.0R,4,GCCS,1.4775940897177671
1.0R,4,HEFT,2.0892520211189855
1.0R,4,Hydra,2.1292520211189855
1.0R,4,MRSA,2.011872316633097
1.25R,4,GCCS,1.4501965391581877
1.25R,4,HEFT,1.846255500905644
1.25R,4,Hydra,1.959871224038299
1.25R,4,MRSA,1.7752456739477345
1.5R,4,GCCS,1.4072896405635047
1.5R,4,HEFT,1.7534933614874757
1.5R,4,Hydra,1.8609512896001765
1.5R,4,MRSA,1.6816288794593004
2R,4,GCCS,1.3677550090745903
2R,4,HEFT,1.5848080600727954
2R,4,Hydra,1.8070244763158156
2R,4,MRSA,1.5534203096190659
